Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
9640;CA-2015-116638;01/04/17;1/31/2015;Second Class;JH-15985;Joseph Holt;Consumer;United States;Concord;North Carolina;28027;South;FUR-TA-10000198;Furniture;Tables;Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;4297644;13;4;-18623124
28;US-2015-150630;09/05/16;9/21/2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;308343;7;5;-16650522
5321;US-2017-162558;10/02/17;10/05/2017;First Class;Dp-13240;Dean percer;Home Office;United States;Knoxville;Tennessee;37918;South;FUR-TA-10000198;Furniture;Tables;Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;2314116;7;4;-10027836
8994;CA-2017-159100;10/04/18;10/21/2017;Standard Class;VP-21760;Victoria Pisteka;Corporate;United States;Columbia;Tennessee;38401;South;FUR-TA-10001950;Furniture;Tables;Balt Solid Wood Round Tables;1875258;7;4;-9688833
464;CA-2016-109869;04/10/17;4/29/2016;Standard Class;TN-21040;Tanja Norvell;Home Office;United States;Phoenix;Arizona;85023;West;FUR-TA-10001889;Furniture;Tables;Bush Advantage Collection Racetrack Conference Table;127263;6;5;-8144832
6640;CA-2014-108609;10/07/16;11/02/2014;Second Class;AJ-10780;Anthony Jacobs;Corporate;United States;Lorain;Ohio;44052;East;FUR-TA-10003954;Furniture;Tables;Hon 94000 Series Round Tables;1421664;8;4;-7345264
5067;CA-2017-142090;11/06/19;12/07/2017;Standard Class;SC-20380;Shahid Collister;Consumer;United States;Burlington;North Carolina;27217;South;FUR-TA-10001889;Furniture;Tables;Bush Advantage Collection Racetrack Conference Table;1781682;7;4;-6532834
1714;US-2017-124968;09/08/17;9/13/2017;Second Class;MM-18055;Michelle Moray;Consumer;United States;Chicago;Illinois;60610;Central;FUR-TA-10004289;Furniture;Tables;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;765625;7;5;-5665625
2359;US-2014-148838;03/05/15;3/21/2014;Standard Class;CP-12340;Christine Phan;Corporate;United States;New York City;New York;10024;East;FUR-TA-10001950;Furniture;Tables;Balt Solid Wood Round Tables;1071576;4;4;-5536476
3520;CA-2015-124975;06/10/16;6/25/2015;First Class;MG-17875;Michael Grace;Home Office;United States;Aurora;Illinois;60505;Central;FUR-TA-10002645;Furniture;Tables;Hon Rectangular Conference Tables;796425;7;5;-5256405
